sample_id,folder_id,sent_id,sentence,prob_1
0,DO,9478,The lack of a unified government response allowed Islamist groups such as Lashkar-e-Taiba and Jamaat-e-Islami to supply aid with minimal resistance.,-41.821128845214844
1,DO,3777,"It is at 749.5 meters above sea level, one of the highest in the Lusatian/Zittau ranges, directly on the Czech/German border.",-42.76717758178711
2,DO,8472,"Prior to the competition, the ""Solomon Star"" reported that Fiji and New Zealand were expected to be the main threats to Solomon Islands' attempt to win its third consecutive title.",-43.39167022705078
3,DO,4752,Susceptibility to the attack of given cryptocurrency depends on the existing hashing power of the network since the attacker would need to overweigh it.,-62.08900451660156
4,DO,7122,The main aim of ChEss is to determine the biogeography of deep-water chemosynthetic ecosystems at a global scale and to understand the processes driving these ecosystems.,-36.01548767089844
5,DO,4884,"The sculpture is of a large pair of hands, representing the service of the police, and the sculpture was vandalised with red paint such that the hands appeared bloodied.",-47.44896697998047
6,AR,13410,"In 2006, Ciobo called for the first home owner grant to be doubled, a policy which was adopted by the Rudd government in October 2008 as an economic stimulus measure.",-75.90071105957031
7,AR,384,"They were being replaced in the front line by fresh British divisions, an operation that was planned to be completed on 9 April, the same day as the Germans attacked the sector.",-48.10668182373047
8,AR,10317,"For his actions leading the column of cruisers at Kula Gulf and earlier in the campaign, Captain Robert W. Hayler of the ""Honolulu"" received his second Navy Cross.",-68.52364349365234
9,AR,4872,"During McClellan's tenure as Commissioner of the Food and Drug Administration (FDA), the makers of Plan B emergency contraception applied for over-the-counter status.",-25.761310577392578
10,AR,9413,"For example, in base 10,  The large number at position 18 has 166 digits, and the next very large term at position 40 of the continued fraction has 2504 digits.",-80.42008972167969
11,AR,4994,"Nidaros  Nidaros, Niðarós or Niðaróss was the medieval name of Trondheim when it was the capital of Norway's first Christian kings.",-32.48860549926758
12,AR,12719,"This road has 7,094.5 km of trunk roads of which only 15% are paved, so it is advisable to travel in all-terrain vehicles.",-43.66672134399414
13,AR,8285,"In its place is left a gramophone with a recording of the ""Yankee Doodle,"" a notorious subversive song serving as the anthem of the Sons of Liberty.",-22.624465942382812
14,AR,12431,"From c. 1790 until after the Crimean War, a red tail coat with short tails, known as a coatee, was part of the infantry uniform of the British army.",-46.331581115722656
15,CB,13158,"Sheyenne Lake NWR is an easement refuge and is on privately owned land, but the landowners and U.S. Government work cooperatively to protect the resources.",-44.104366302490234
16,CB,845,"These regional traditions include the ""Yatra"" of Bengal, the ""Ramlila"" of Uttar Pradesh, and the ""Terukkuttu"" of Tamil Nadu.",-43.080589294433594
17,CB,1490,"Ethiopiques Volume 9"" is devoted entirely to recordings of Alemayehu's earlier music, and ""Volume 22"" covers his career between 1972 and 1974.",-70.27009582519531
18,CB,3878,"An album of the same title appeared in 2004, and the song ""Du bist nicht allein"" (""You Are Not Alone"") became a substantial hit.",-23.51093292236328
19,CB,748,"Numbers one through five, and fifteen through forty-five, were from the cross Carter x Black Hamburg, while numbers six through fourteen were from Carter x White Chasselas.",-83.17860412597656
20,CB,8014,"D'Urban came to the frontier in December 1834, and led a large force across the Kei river to confront Hintsa at his residence and dictate terms to him.",-68.5758056640625
21,CB,5950,"Jay comes to his senses when Uncle Harry refuses to follow Mel's suggestion that he should throw the memory stick into the fire and instead, puts it straight into his safe.",-65.802978515625
22,CB,7083,"The Encounter (novel)  The Encounter, published in 1996 and written by K. A. Applegate, is the third book in the ""Animorphs"" series.",-22.05510711669922
23,CB,2599,"Rocca Santo Stefano  Rocca Santo Stefano is a ""comune"" (municipality) in the Metropolitan City of Rome in the Italian region Latium, located about east of Rome.",-9.483637809753418
24,CB,11083,Compton Abbas Aerodrome has a CAA Ordinary Licence (Number P851) that allows flights for the public transport of passengers or for flying instruction as authorised by the licensee.,-57.89970397949219
25,CN,3695,"At the 2010 Algarve Cup, Lloyd scored the game-opening goal in the final helping the U.S. clinch the championship title after defeating Germany 3–2.",-72.6629638671875
26,CN,4354,"La Mer"" is an adaptation from the song by Charles Trenet, and ""Sukiyaki"" is a remix of a song by Kyu Sakamoto. """,-76.75392150878906
27,CN,1467,"The leaves are scale-like, 1–2 mm long and 0.6–1.5 mm broad on small shoots, up to 10 mm long on vigorous shoots;",-87.56185913085938
28,CN,7369,"In a review of the meal published in ""The Sydney Morning Herald"" in 1984, Schofield compared a lobster dish as ""...close to culinary crime"".",-56.16877746582031
29,CN,10381,Thus former rebels fought to uphold the once-again ascendant Calvinist Protestant order in defence of the Covenant against the defenders of the old Episcopalian and Roman Catholic establishment.,-83.68122863769531
30,CN,5597,"Kevin Thomas of the ""Los Angeles Times"" called it ""a lethally crass, singularly unfunny comedy"" and ""about as funny as arson.""",-38.136199951171875
31,CN,1688,"Bab an-Nabi, ""Gate of the Prophet [Muhammad]"") - not to be confused with Barclay's Gate, which has the same Arabic name.",-44.24622344970703
32,CN,1975,"After V-Day in 1945, he joined the First Marine Division in North China, going up to Beijing, thereby taking part in the liberation of his home from the Japanese.",-52.91659927368164
33,CN,13121,Inga (Carol Dempster) is a Polish war orphan who has only accumulated a small amount of money from the rubble and hopes to marry Paul (Neil Hamilton).,-57.83807373046875
34,CN,5638,University of Bristol Spelæological Society  The University of Bristol Spelæological Society (UBSS) was founded in 1919 by cavers in the University of Bristol.,-22.054576873779297
35,CN,13233,"Pieter Codde  Pieter Jacobsz Codde (December 11, 1599 – October 12, 1678) was a Dutch painter of genre works, guardroom scenes and portraits.",-73.48985290527344
36,CN,10925,"New wider and lower bodies were offered and ""Airfoil"" front fenders that flowed into the lines of the rear fenders were introduced on convertibles and sedanet models.",-79.2075424194336
37,CN,7494,"When the veteran captain of the Dragons manages to bat his shot, it seems that the young boy is finally and definitely defeated, but then he invents another magical shot.",-83.31625366210938
38,EK,2326,Gopi and Inder grow close as Rupa asks her to give Inder his medication and take him for walks so he can get better and he also enjoys her company.,-37.290550231933594
39,EK,6331,"The magazine returned to weekly publication in 1949, and in 1948 incorporated the magazine ""Moeder en kind"" (""mother and child"") and in 1950 ""Cinderella"".",-55.70121765136719
40,EK,7555,"The species was first formally described by the botanist Leslie Pedley in 1972 as part of the work ""A revision of Acacia lycopodiifolia A. Cunn.",-53.888336181640625
41,EK,6910,"The mixtape adopts eclectic production styles and further explores the music genres that Lil B experimented with in his career, including cloud rap, hyphy, trap and rap rock.",-67.21526336669922
42,EK,115,"Sawada uses photography and techniques of performance art to explore ideas of identity, status, culture, individualism, and conformity through traditional and contemporary cultural methods of portraiture.",-67.65835571289062
43,EK,1799,"As the various groups invent their movements and steps, the hand-raising floral offering to the Santo Niño is considered as the unifying Buling-Buling dance movement.",-61.56928253173828
44,BQ,1119,"After the war he resumed competition, winning Paris–Roubaix in 1919 and the second (and final) running of the Circuit des Champs de Bataille in 1920.",-76.86157989501953
45,BQ,4729,"""Beating as One"" was ranked number 5 in ""The Village Voice""s 1997 Pazz & Jop critics' poll, the band's highest position to date.",-44.78675079345703
46,BQ,4190,"Consequentially, it was the NYA's duty to provide access to education, advancement, and sense of occupational achievement through its interactive initiatives and agendas.",-76.356201171875
47,BQ,11170,"Boudewijn Bouckaert holds a PhD and teaches at the Law School of the University of Ghent, the University of Paris and the University of Aix-Marseille.",-15.752752304077148
48,BQ,2963,"From the eleventh century French was adopted in the court and in the late Middle Ages, Scots, derived from Old English, became dominant, with Gaelic largely confined to the Highlands.",-50.96361541748047
49,BQ,6929,"In the early years, the Malays called the Portuguese Serani (a Malay contraction of the Arabic ""Nasrani"", meaning followers of Jesus the Nazarene).",-47.3375358581543
50,CE,4592,"Whichever of the two players gave the best effort would go back to the circle, while the player ""dogging it"" would stay in until Kush decided he could quit.",-61.35740661621094
51,CE,3447,"The directorate originated from a few defunct separate directorates, mainly the Chief Minister and Cabinet Directorate (CMCD), Treasury Directorate and the Economic Development Directorate (EDD).",-52.69602966308594
52,CE,4252,"In 1958, Jamaican mento group Denzil Laing and the Wrigglers recorded a version for their ""Arawak Hotel"" album with guitarist Ernest Ranglin.",-60.20416259765625
53,CE,8464,The railway tunnel of the Saint-Gervais–Vallorcine railway has been modified to also carry road traffic on a convoy basis between trains when the pass is closed.,-88.52571105957031
54,CE,8574,"Though the traditional view of the event reduces the peasants' motivations to being purely economic, some scholars see it as part of a suppressed peoples' rights movement in this period.",-57.197486877441406
55,CE,698,"Like a vast majority of their subject people, in time the Khalidis adopted Shi'ite Islam if they were not already so at the time of their ascendency.",-65.08358764648438
56,CE,12877,"It is the first of the two books in the ""Empire"" duet, followed by ""Hidden Empire"" with the video game ""Shadow Complex"" bridging the two.",-72.34716033935547
57,CE,6080,"He made his return to the starting line-ups for the first time, in a 3–0 win over Tottenham but was substituted in the 77th minute for Andreas Pereira.",-70.11363220214844
58,AM,3954,It was encased in hollow tindalo wood in 1835 upon the order of the Augustinian Bishop Santos Gómez Marañon to prevent devotees from taking it home chip by chip.,-66.05266571044922
59,AM,14344,"Parral is often associated with several historical figures, including Mexican revolutionary leader Pancho Villa, who was assassinated in Parral on July 20, 1923, and initially buried here;",-48.799373626708984
60,AM,1010,"Hail, Pottsylvania Sneaky and crooked through and through, Down with the good guys, up with the boss Under the sign of the triple cross, hey!",-80.62216186523438
61,AM,8663,"The Lotus Sūtra sees all other teachings are subservient to, propagated by and in the service of the ultimate truth of the One Vehicle leading to Buddhahood.",-77.75396728515625
62,AM,3314,"Fetus ""in fetu"" and fetiform teratoma are rare forms of mature teratomas that include one or more components resembling a malformed fetus.",-78.52275085449219
63,CT,948,"The ""Southsea"" name was later transferred to Portsmouth's main ""Portsmouth Town"" railway station in 1925 creating the present-day Portsmouth & Southsea railway station name.",-29.204936981201172
64,CT,1104,Charles Morice  Charles John Morice (27 May 1850 – 17 June 1932) was an English footballer who played for England as a forward in the first international match against Scotland.,-71.94087982177734
65,CT,10603,"He did not seek re-election at the term's conclusion in December 1913, and died less than a year later, on October 9, 1914, of liver cancer.",-20.043237686157227
66,CT,10152,Electrolysis of water at Sable is a process whereby 6.5 kA direct current is applied across each electrolytic unit to separate water into hydrogen and oxygen both at and .,-95.00113677978516
67,CT,7779,The time of the war is so clearly fixed at 743/742 BC through 724/722 BC that other events in Greek history are often dated by it.,-55.753543853759766
68,CT,9033,"628, commonly referred to as Highway 628, is a highway in the province of Alberta, Canada that runs west to east through the Edmonton Capital Region in two sections.",-12.158775329589844
69,CT,5564,"The USDA has invited interested parties, including members of the general public, to participate and follow the development of the 2020–2025 edition of the Dietary Guidelines for Americans.",-64.82040405273438
70,CT,2916,"An angry Barnaby, now a wizened old man, throws Alfalfa out into the New York streets and forces him to sing for pennies in the snow.",-30.955902099609375
71,DV,5196,"At 4 a.m. on 15 June 1997, an armed team of FBI officers, working with the Pakistani Inter-Services Intelligence, raided Kansi's hotel room.",-56.621097564697266
72,DV,3415,"Microregion of Araçatuba  The Microregion of Araçatuba () is located on the northwest of São Paulo state, Brazil, and is made up of 7 municipalities.",-16.661338806152344
73,DV,6687,Rhein-Erft-Express  The Rhein-Erft-Express is a Regional-Express service in the German states of North Rhine-Westphalia and Rhineland-Palatinate.,-6.401081085205078
74,DV,812,"Rob Whitworth  Rob Whitworth (born 27 May 1982) is a British photographer and urban film maker, based in Shanghai, with flow motion based works throughout Asia.",-75.78895568847656
75,AF,4205,"PowerPoint was originally designed to provide visuals for group presentations within business organizations, but has come to be very widely used in many other communication situations, both in business and beyond.",-60.763023376464844
76,AF,8788,"however Brünhild and Kriemhild become rivals, leading eventually to Siegfried's murder by the Burgundian vassal Hagen with Gunther's involvement.",-57.67244338989258
77,AF,14035,"In 2002, Richard Kauffman interviewed Buechner for The Christian Century upon the publication of ""Speak What We Feel (Not What We Ought to Say)"".",-60.697540283203125
78,AF,7665,"Through a series of discoveries, the team found that a previous blood meal was necessary to make the tick deadly to its hosts, as well as other facets of the disease.",-47.566261291503906
79,AF,8097,"This meant that von Braun's team was not allowed to put a satellite into orbit with their Jupiter-C rocket, because of its intended use as a future military vehicle.",-44.399314880371094
80,AF,3654,"In this story, the dime is so old that it has become thin as a razor blade and allows Scrooge to cut binding ropes and escape from the Beagle Boys.",-71.16989135742188
81,AF,1456,"This event gave rise to the term ""Zabernism"" (from the German name of the town), meaning abuse of military authority, or unwarranted aggression.",-49.42156219482422
82,AF,10230,Across the world the brass band has been an integral part of the Army's ministry and an immediately recognisable symbol to Salvationists and non-Salvationists alike.,-40.69450378417969
83,AJ,4967,"Asker is politically dominated by the conservatives, and the mayor is Lene Conradi who is a member of the Conservative Party of Norway ""(Høyre)"".",-27.463966369628906
84,AJ,12961,"The climbing and suspensory behaviour in orthograde apes, such as chimpanzees, has resulted in elongated hands while the thumb has remained short.",-55.24985122680664
85,AJ,772,"The gravestone of Sultan Malik as-Salih, the first Muslim ruler of Samudra, has been found and is dated AH 696 (AD 1297).",-49.746315002441406
86,AJ,10995,"The first part consisted of the first two movements of the symphony as it is now known plus ""Blumine"", and the second consisted of the funeral-march and finale.",-54.19136047363281
87,AJ,939,The aforementioned route had a significant impact for the future community of Dieppe has it linked southeast New Brunswick to Nova Scotia prior to the completion of the new Trans-Canada Highway.,-61.346160888671875
88,AJ,6261,"With the West Indies being favourites for the match, they were asked by Ian Chappell to bat first and would go on to score 291 for eight wickets from 60 overs.",-42.60777282714844
89,AJ,448,"Trial ""s"" for instance would be characterized by A's setting ""a"", B's setting ""b"", and C's settings ""c"";",-40.965816497802734
90,AJ,6414,"Through the second half of the 1970s, NASA provided funding for the Advanced Supersonic Transport (AST) project at several companies, including McDonnell Douglas, Boeing, and Lockheed.",-38.227210998535156
91,AJ,3256,"According to some historians, he was the principal owner of the ""Matthew"", the ship sailed by John Cabot during his voyage of exploration to North America in 1497.",-39.786582946777344
92,AJ,13003,"Phillips screwdrivers come in several standard sizes, ranging from tiny ""jeweler's"" to those used for automobile frame assembly—or #000 to #4 respectively.",-112.05409240722656
93,AJ,12328,"Since then, multiple epidemiological studies have found no connection between exposure to environmental or swallowed aluminium and neurological disorders, though injected aluminium was not looked at in these studies.",-63.44902801513672
94,AJ,5386,"In 1978, Schaeffer asked a group of Reformed Episcopal Clergy to research his thoughts and current trends, forming a church guild called ""The Society of Reformed Philosophical Thinkers"".",-78.34980773925781
95,BF,619,Silent Witness (horse)  Silent Witness () (foaled 1 October 1999) was an outstanding Thoroughbred racehorse who won his first 17 starts in sprint races in Hong Kong.,-41.33763122558594
96,BF,6559,"When Phillips acquired a demo recording of ""Without You"" and was unable to identify the vocalist, his assistant, Marion Keisker, reminded him about the young truck driver.",-77.09043884277344
97,BF,6896,"In 1856, Victorian Governor Charles La Trobe proclaimed 81 hectares of parkland, extending from Punt Road to Swanston Street, and from Wellington Parade to the Yarra River.",-43.83534240722656
98,BF,14702,"In the early 18th century there was a grave internal conflict around the apostolic vicars Johannes van Neercassel and Petrus Codde, who were accused of Jansenism.",-57.6033935546875
99,BF,10366,"Meigs commanded the NATO Stabilisation Force in Bosnia and Herzegovina from October 23, 1998 to October 1999, concurrent with his command of United States Army Europe/7th Army.",-38.43993377685547
100,BF,11110,"A Boy Scout camp was operating in the canyon as early as 1918, the year that Arthur Letts bought property for a permanent camp at a cost of $6,000.",-45.671627044677734
101,BF,9019,"The stream gauge on Sope Creek (""MARG1"") is mounted to the south side of the Lower Roswell Road bridge, at (NAD83).",-98.40472412109375
102,BF,2019,"John Fothergill (physician)  John Fothergill FRS (8 March 1712 – 26 December 1780) was an English physician, plant collector, philanthropist and Quaker.",-76.08678436279297
103,BF,503,"Apart from the missionaries, other Europeans such as William Wyatt, William Williams, William Cawthorne and Matthew Moorhouse wrote about the ""Adelaide Tribe"" in their memoirs.",-56.7495231628418
104,BF,11221,"From the late 1960s, however, increasing financial problems, combined with severe flood damage, led to the conclusion that it was no longer viable for the Society to maintain its Library.",-39.824161529541016
105,BP,4782,"AutoPlay examines newly discovered removable media and devices and, based on content such as pictures, music or video files, launches an appropriate application to play or display the content.",-64.19733428955078
106,BP,6325,"During the 2002-03 season, a four-sided scoreboard was added hanging from the ceiling as well as a ""jumbotron"" style screen on the south wall.",-21.334348678588867
107,BP,675,"PBEDS began operations in June 2006 to destroy more than 1,200 recovered chemical warfare munitions at PBA – the largest inventory of recovered chemical warfare materiel in the nation.",-84.70268249511719
108,BP,436,"Since 1904 she desired to be called ""Mariam"" under the belief she had a vision from the Blessed Virgin Mary in which she was instructed to add it to her name.",-48.99773406982422
109,BP,7028,"In some systems, a bid of 2 shows a strong hand with a five-card suit, and a bid of 2 shows a hand that is similarly strong, but balanced.",-38.81376647949219
110,BP,3036,"She relocated to Europe permanently in 1968, moving from Rome to Geneva, Switzerland, and Marbella, Spain, until the death of her Italian husband, Paolo, in 1991.",-43.87720489501953
111,AV,5870,"Oddly, in April 1861, Hermann Goldschmidt had also believed that he had discovered a new satellite of Saturn between Titan and Hyperion, which he called Chiron.",-50.14664077758789
112,AV,5131,"It was the largest fine in NASCAR history until 2013, when Michael Waltrip Racing was fined $300,000 for allegedly manipulating the outcome of the Federated Auto Parts 400.",-20.938941955566406
113,AV,4336,"The plan called for a constitutional monarchy, and when no European monarch presented himself as a candidate, the Mexican Congress proclaimed Iturbide as Emperor of Mexico in May 1822.",-41.011940002441406
114,AV,1347,"While in prison, Cunhal submitted his final thesis on the topic of abortion and obtained his law degree (the jury included the future prime minister Marcello Caetano).",-39.575538635253906
115,AV,3582,"The tournament was not held in either 1979 or 1983, but with those exceptions, the tournament has been held every other year, excepting for subsequent tournaments in 2003 and 2004.",-37.28718566894531
116,BU,6923,"He rode out with his men at arms, but at the last furlong commanded them to remain at a distance while he rode on and single-handedly beheaded the beast.",-47.79327392578125
117,BU,2553,"From 1995 to 1999, Afshari was a member of Central Council of the Islamic Student Association at Amirkabir University of Technology, serving as the Secretary of the Association.",-39.81414794921875
118,BU,10169,"In 2012, Taylor created his own brand of headphones and speakers called iT7 Audio, which has been worn by a host of celebrities and sportspeople supporting the brand.",-59.43041229248047
119,BU,12707,"Captain Winans distinguished himself while serving with the Fifth Regiment (Marines), 2d Division, American Expeditionary Forces at Chateau-Thierry, France, 6 June to 10 July 1918.",-45.00727081298828
