sample_id,sent_id,sentence,prob_1
0,696960,The TTC introduced the Metropass in 1980.,-30.90176773071289
1,1728170,"Both players were fined, but neither were suspended.",-9.418182373046875
2,1111362,Saudi Arabia has officially identified atheists as terrorists.,-21.593563079833984
3,489946,Thereupon an intensive exchange of letters followed.,-9.549427032470703
4,1825015,"Food was running short, and nights were colder.",-16.38503646850586
5,1544187,Winner of Apollinaire prize in 1948.,-26.285503387451172
6,1773743,The incubation period is around 17 days.,-6.7148895263671875
7,1764657,Varga opened a store and became the postmaster.,-14.653918266296387
9,1631481,It is found in eucalypt forest.,-1.8978652954101562
10,1603238,"Just past Harrison Street, they pass Memorial Stadium.",-24.6385498046875
11,1527249,These miliaria are valuable historical documents now.,-26.914432525634766
12,386100,"In 1987, Limerick was admitted to Middle Temple.",-24.876752853393555
13,682921,It serves the Newburyport/Rockport Line.,-10.009536743164062
14,435351,These variants have been associated with breast cancer progression.,-14.578635215759277
15,451979,The quartet of Brazilians of da Matta.,-36.29793930053711
16,1581428,The editing thing was an arbitrary choice at first.,-31.089405059814453
18,310210,The car started on pole position and finished 3rd.,-8.666996955871582
19,1706977,He solidified his alliances by friendship and marriage.,-17.810640335083008
20,690743,Its current owner and operator is Mark-E.,-17.61771011352539
21,467884,This event was held at World Championships in 1962.,-16.348072052001953
22,634217,Gumane was held in custody for several years.,-36.175872802734375
23,1019293,The US Navy operates 40 F-16s.,-10.973995208740234
24,852639,The village grew rapidly from about 1900 to 1920.,-21.78914451599121
26,918166,Ji-soo took a coach to the town.,-25.390621185302734
27,1160481,Little is known about his family or early life.,-6.521086692810059
29,1613554,"During this season, two Test teams toured England.",-16.594051361083984
30,2976,Since its formation its productions have received numerous awards.,-9.906511306762695
31,1797619,"That was wrong of me as a fighter.",-20.84819221496582
33,1802034,He was later sentenced to three months in jail.,-7.800045013427734
34,1755383,The memorial is made of Italian marble and limestone.,-12.654071807861328
35,980415,"1 at the time, Ian Harrison of Gloucestershire.",-32.68315124511719
36,1259116,"It has a seating capacity of 5,500.",-4.100076675415039
37,1385348,He ends up with Augustina at the end.,-21.128440856933594
38,835360,Law has an older brother and two younger sisters.,-12.674033164978027
39,210977,First on the republic in all levels of education.,-40.113006591796875
40,892811,There were 93 pupils in the Class of 2009.,-27.28712272644043
41,128531,It was attached to the Independent State of Croatia.,-5.402688980102539
43,941655,It was published by Amaryllis in 2011.,-17.7166690826416
44,24619,"In 1964, he was promoted to major general.",-6.099869251251221
45,977618,The 3 men were later released on March 13.,-29.863954544067383
46,1325435,Here Hussein buys fields with a tumbledown house.,-48.078765869140625
47,943875,She returned to Surabaya on 16 February.,-6.937789440155029
48,899639,All three made it to the Namibian border.,-8.662846565246582
49,380517,He was brought up in nearby Rhoose.,-18.26034927368164
50,1753480,It was described by McKeown in 1938.,-4.690593242645264
51,777001,"WOKZ began broadcasting February 4, 1948.",-35.53321075439453
52,137370,The main balcony is a half octagon.,-17.852523803710938
53,21207,It supports MPEG-DASH and HLS.,-21.35700798034668
54,161685,"Returning home, she discovers André sleeping with Catherine.",-19.055511474609375
55,1039940,They reach their maturity within three or four years.,-15.381731033325195
57,697292,The final episode did not air with an opening.,-18.56053352355957
59,1734723,Stafford married physician Michael Beckish in July 1996.,-56.22559356689453
60,22248,It ran from 27 October to 7 November 1999.,-19.151996612548828
61,638224,Individual pods of graphite could be quite large.,-25.07867431640625
62,1302310,He played for HJK Helsinki and Lukko.,-0.21703827381134033
63,1384764,He is a pioneer of culinary literature in English.,-28.01690673828125
64,348089,He favored a protective tariff and a gold standard.,-18.087139129638672
65,1444557,These are no longer part of the museum exhibit.,-13.83630657196045
66,853874,It replaced an earlier tower built in 1496.,-18.17035675048828
67,616673,Ugolino and His Sons may refer to:,-14.641586303710938
