sentence,sent_length,source,sentence_num,id,step,phase,prob_class,prob,.folds
"salova bioroda ( hungarian : salosze banyerucus, also pusztava bioroda ) is a deontological park located in slovakia.",long,bert,0,0_1025,35909,late,low,-57.29155,13
"the hussars'first expedition to gallipoli was repulsed at malatesta, brescia ( except varna ) and udine ( the entire city ).",long,bert,0,1_750,26284,late,low,-30.573933,10
"they could have made predictions using hasty build elaboration and comparing the different engine manufacturers in the prefecture outside of vincennes, or avignon or marseille or limoges.",long,bert,0,2_1995,69859,late,low,-77.272736,17
"he has performed faculty and lectures at the university of eindhoven, and the university of nazaire, prospective, oxford and the university of kidnapped children in the netherlands.",long,bert,0,3_1495,52359,late,low,-66.0263,1
there were some doubts about the change severance severance had put forth when severance had been harried to the 234 and had begun to prowl off his map.,long,bert,0,4_1395,48859,late,low,-64.09123,22
"she was also his assistant in bihar, andhra pradesh, vaishali district and in the states of bundelkhand and orissa, but was mainly involved in urban work.",long,bert,0,5_1995,69859,late,low,-33.168938,4
"by founding a company focused on identifying and conducting research in women's culture that wants to expand into competition, she has become an active member of the aim mobile analytics group.",long,bert,0,6_1950,68284,late,low,-67.65964,25
""" you stupid old wimp! "" cried one of the shapeshifters, waging him over the body and swerving in raziel's direction repeatedly.",long,bert,0,7_780,27334,late,low,-36.773582,2
"this leads to controversies and difficulties between the opinions of the biblical judges ( the electors ) and of the electors ( the servitors ) and the spectators, including cannan.",long,bert,0,8_1975,69159,late,low,-62.322205,19
"he signed a €25 million contract for fc eisenach as as of 14 january / february 2017, werth was promoted to the regionalliga sud of the southeast region.",long,bert,0,9_1775,62159,late,low,-44.778854,20
"all that was visible was impotent small creatures, whose only people nearby were'able'to use their powers, as well as "" what "" their world could offer.",long,bert,1,0_1975,69159,late,low,-44.557106,21
"instruments from "" war was before me ; war was coming ; then now ; then never ever "" can be traced into the melody of the song "" how i love you "".",long,bert,1,1_1470,51484,late,low,-48.901627,8
"by controlling the plasma concentration with the histamine remaining cytoplasmic, the histamine transporter functions by energizing the aliphatic histamine.",long,bert,1,2_1995,69859,late,low,-23.87641,29
he coached the israeli team at eurobasket 2014 and 2014 fiba world championship in venezia - orvieto and coached the united states national basketball team in rio de janeiro.,long,bert,1,3_1945,68109,late,low,-11.090842,9
""" that's attitude, isn't it? am i better than you? "" sariana opened her mouth to speak so no one would notice her sullen expression.",long,bert,1,4_955,33459,late,low,-18.335361,15
"later mythologies theorize that venturion was to erupt into restless and undying love thanks to osiris "" plomon "" in the animate form.",long,bert,1,6_1995,69859,late,low,-68.20943,7
"particles can only collide ( depending on their solubility ) ; electrons and quarks collide with mesons, and the molecule collides with mesons.",long,bert,1,7_1075,37659,late,low,-17.320091,18
it features features based on stories told by the famous tauranga malietoa : ritual for pukaha ( 1906 ) and lindbergh in paris ( 1909 ).,long,bert,1,8_1990,69684,late,low,-48.571945,23
"alauddin made significant efforts in the fortification of the cities, and ordered ayodhya city to burn down after the death of ayodhya king chandrabhata.",long,bert,1,9_995,34859,late,low,-30.710546,18
""" i let her go! i caught her! "" mathilda had not walked far from que azure to shimmer into lines of colored drapes hanging in front now.",long,bert,2,0_1935,67759,late,low,-71.36348,12
"the majority of persian and armenian cities are of circassian origin with the exception of fakhruddin ( iran ), tbilisi ( georgia ) and baku ( azerbaijan ).",long,bert,2,1_1960,68634,late,low,-10.911466,8
"he signed with first team parramatta on loan for the following 2008 - 09 season and in may, the cobras signed jason lawrence / michael prevost ( leigh kicking ).",long,bert,2,2_1950,68284,late,low,-82.66935,28
"khan vengal gram panchayat is one of 10 gram panchayats of khanpur ( khan vengal vir ), bhagwan district, in northern india.",long,bert,2,3_1495,52359,late,low,-24.430317,11
"to release, it was the previous, and final, single that featured "" let me fly "", it also dariush guetta and williams on "" let me fly "".",long,bert,2,4_1990,69684,late,low,-81.60693,12
"gamespot positioning top shot as a "" superb [ online multiplayer ] game "", and wrote that it aspired to win by yelping and snapping higher definition animations.",long,bert,2,5_315,11059,late,low,-54.976234,22
the ctbds congregate at amer fasterbottom rhinebottom fissures ( primarily vertebral - pleural hyaline junction ).,long,bert,2,6_995,34859,late,low,-66.26949,14
"when i walked in there were ten raucous dancing girls all standing in front of blythe, and i couldn't believe just how pitiful those girls looked.",long,bert,2,7_455,15959,late,low,-14.560175,13
"there are in places phosphohic alcohols, tetracoccus alcohols ( estovivins ) and molecular aldehydes ( oxygens ).",long,bert,2,8_1495,52359,late,low,-60.907074,26
"the singles have yielded three albums of various singles, which have included cover versions of led zeppelin songs ( "" get me down for you "" and "" i love you "" ).",long,bert,2,9_610,21384,late,low,-41.836754,2
"the phenyl ether is distilled by "" quark reduction "" ( or "" illustrative reduction "" ) by reducing the urethane by a boiling point.",long,bert,3,0_970,33984,late,low,-19.209131,19
"the song "" if you can ( mommy ) "" is a song from the album i love the big wakoma that tells the story of a girl who marries a farmer.",long,bert,3,1_1995,69859,late,low,-40.719948,10
"the go - go are perennial high levels of instant eviction ( sometimes called "" eviction zones "" ), with similar similar effects as evictions and extortions.",long,bert,3,2_725,25409,late,low,-54.940956,2
"at a restaurant, schenk was dissected by a man in civilian clothes and the two fled to the restrooms, where schenk was reportedly shackled.",long,bert,3,3_1865,65309,late,low,-17.031487,9
"in addition to having served in the prince edward island legislature from 1994 to 2008, hamilton is the only community in the province of prince edward island represented by members of the legislature.",long,bert,3,4_1995,69859,late,low,-16.46455,13
""" if you believe in intoxication, "" pruitt went on, "" i really think so, "" pruitt said in an overprotective tone.",long,bert,3,6_1630,57084,late,low,-10.409316,24
methoxyhydrolase is a methoxy - tetrahydrolase that this enzyme processes as a tetrahydrolase hypophosphatase.,long,bert,3,7_1870,65484,late,low,-11.40294,30
"the cyrillic alphabet entered widespread use in much of europe between the 16th and 18th centuries, and supplanted the international phonetic alphabet with the development of modern latin alphabets.",long,bert,3,8_1280,44834,late,low,-12.74363,15
"projects have been driven by elected women at texas a & m university, and include remodeling and creation of 50 non - fiction incubators and incinerators.",long,bert,3,9_1460,51134,late,low,-42.067165,10
"has been compared to "" unmade "" fine woman - porno music video by not firing battery insofar as non - preternatural ludwig moves in plain sight.",long,bert,4,0_1995,69859,late,low,-88.364136,11
"i'm love him! "" "" the devourer doesn't know that you're in love with him, "" she said in a lackluster tone.",long,bert,4,1_1960,68634,late,low,-25.947826,7
""" something is happening, 88, i want to say something, before it is over. "" 88 knew, no, no, he did not! apart from with what?",long,bert,4,2_1800,63034,late,low,-52.196266,1
""" what about that food you mentioned? "" "" oh, my - boy, it's most definitely not him! hey, listen elvi, go find your mom.",long,bert,4,3_1980,69334,late,low,-63.10681,12
"she was an unexplained between evalle and evalle - or evalle and evalle, even if it was evalle and the black matter within her.",long,bert,4,4_1995,69859,late,low,-30.458326,4
"without waiting for an answer, bens profile lowered from the tall one's gaze "" would you like to come with me? "" the young male fidgeted nervously.",long,bert,4,5_1825,63909,late,low,-53.49475,14
"in australia, menzies beaufort reservoir ( separated from turkana national park ) provides quality drinking water for its circumspect silt ( silt ) beds.",long,bert,4,6_1485,52009,late,low,-33.282814,22
"on the grounds of the source misrepresentation ( declaring "" true "", "" misinformative "", or "" false "" ) to be his prerogative.",long,bert,4,7_1995,69859,late,low,-31.768555,9
"when unprotected, they require vaccination with antioxidants such as sucrose, histamine, glutamine or tyrosine.",long,bert,4,8_775,27159,late,low,-2.659476,21
"cabin arose out of one of the most dangerous and invoked political clashes in valparaiso between capol and chen ( chen's democrat, cuesta's republican ).",long,bert,4,9_1995,69859,late,low,-62.911354,16
the second - place team in the new a group won its tournament and advanced to the semifinals below the second place team in the b division kaunas advanced to the new semifinals.,long,bert,5,0_1990,69684,late,high,-63.001865,14
"in pool 1 - 4, the bottom four teams of each pool advanced directly to the semi - finals, while the top four teams of each pool advanced directly to the finals.",long,bert,5,1_1995,69859,late,high,-11.035073,20
"on 24 and 25 august, the top 4 teams in each pool qualified directly for the quarter - finals, while the top 2 teams in each pool qualified directly for the finals.",long,bert,5,2_1495,52359,late,high,-10.382868,5
"there was a playoff in which the top six teams from each pool advanced directly to the semi - finals, while the bottom two teams from each pool advanced directly to the final.",long,bert,5,3_1995,69859,late,high,-11.830202,21
"it is called the "" horwich strip "", an informal name given to the passages that lie between choctaw village and the choctaw horwich river.",long,bert,5,4_1995,69859,late,high,-28.969556999999998,6
"teams were divided into four groups, with one team from each group advancing to the semifinals, two from each group advancing to the quarter finals, and three advancing to the final.",long,bert,5,5_995,34859,late,high,-5.124965,12
"the tournament concluded with the two top - placed teams of each pool qualifying directly for the semifinals, and the two second - placed teams in each pool qualifying directly for the semifinals.",long,bert,5,6_1495,52359,late,high,-18.261868,26
"four heats were held, with the top three teams in each heat going through to the semi - finals, and the remaining eight teams in each heat going through to the finals.",long,bert,5,7_255,8959,late,high,-11.679146,8
"the second representative, jean oliveira, who failed to take part, advanced to the semi - finals against the defending champion minas gerais state on the second tiebreak on polling day.",long,bert,5,8_995,34859,late,high,-38.40541,23
"it was a round robin format, with two teams from each group qualifying directly for the semi - finals, and the top two teams from each group qualifying directly for the final.",long,bert,5,9_995,34859,late,high,-4.910583,1
the ran also served the stations at which it connects with the shepperton line to the west : cheetham station ; and birkenhead & otway station.,long,bert,6,0_975,34159,late,high,-38.891434,2
"when purine reappears in the cell, purine transporters modulate, purine in proximal lysosomal and rasprotein transporters modulate.",long,bert,6,1_1995,69859,late,high,-22.043259,12
"also associated with peridotite in the great waiaulu seamounts ( ecoregion ) in the waiwau and waiaulu national parks, french polynesia.",long,bert,6,3_995,34859,late,high,-22.439573,24
"he was left unranked in apertura 2005 ( he then became manager of cf uteg who were relegated to segunda division ), without ever featuring as a substitute.",long,bert,6,4_1470,51484,late,high,-43.347275,23
resuming her uneasiness soon she was no longer distancing her leg as she lingered there in his hotel suite making a tourniquet souvenir of wilderness.,long,bert,6,5_1990,69684,late,high,-59.17485,10
"although the length of the dorsal sepal is 11 - 13 centimeters, the lateral sepals ( the epidermis ) are hairy and each has 4 - 5 sepals.",long,bert,6,6_995,34859,late,high,-17.146069,9
