sample_id,sent_id,sentence,prob_1
0,1605783,The population density was 183.4 people per square mile (70.9/km²).,-7.319732189178467
1,2661329,He was also one of the rare contributors interpreting the existing contemporary caste system at a theoretical level.,-56.917640686035156
2,2898647,"(Since the graph is a triangulation, the charge on each face is 0.)",-23.138874053955078
3,673581,"The theme song is ""After You've Gone"" and is performed by Jamie Cullum.",-8.409947395324707
4,604843,"His folklore film database has recordings from Ukraine, China, Transylvania, Iran, India and others.",-76.6906967163086
5,1696223,"The year 1525 in science and technology included many events, some of which are listed here.",-24.419715881347656
6,2130297,"The stone was placed against the house, leaving the grave site unmarked and unidentified on the property.",-29.525848388671875
7,3532189,"From 1913 to 1922, he was publisher of the journal ""Le Nourrisson"".",-31.159955978393555
8,1150380,"""Tapolca"" is also the name of the town where the district seat is found.",-21.802921295166016
9,2019017,The Baptist Church was built in 1807 on what was then the corner of Edwards and Pine Streets.,-28.03114891052246
10,2280837,Henry David Thoreau was a major proponent of self-rule in lieu of immoral governments.,-19.635236740112305
11,3039925,"The gmina covers an area of , and as of 2019 its total population is 12,560.",-39.566200256347656
12,2968175,"This roundel clearly does not belong to the vase, and has been displayed separately since 1845.",-49.538475036621094
13,714354,"It stars Superstar Upendra, Challenging Star Darshan, Radhika and Sanghavi.",-32.21837615966797
14,1577576,"Kysilewsky, however, was unable to join him due to a negative health report.",-40.70355987548828
15,533557,"The ridge, which is situated towards the north of the parish, is approximately above sea level.",-27.436498641967773
16,537214,"In an age before the internet and sites such as Amazon.com, this idea was innovative.",-18.189748764038086
17,2536866,The second series was nominated for the Best Drama prize at the 2008 Rose d'Or ceremony.,-20.656837463378906
18,1608382,"Other sections are served by Silver Lakes Middle in North Lauderdale, Lauderdale Lakes Middle in Lauderdale Lakes.",-36.33462142944336
19,2267692,Except Admiral Shariff who continued to press pressure on Indian Navy until the end of the conflict.,-41.93683624267578
20,1174984,"""This is the end for us,"" Gippius allegedly commented, disgusted and horrified.",-38.25216293334961
21,1920220,Aarong is an enterprise of one of the largest social development organizations in Bangladesh - BRAC.,-60.65238571166992
22,1275155,"However, the majority of the Goths escaped and began retreating south the way they had come.",-23.781719207763672
23,1588365,"4 was recorded live at the Drum Logos club in Fukuoka, Japan on June 14, 2000.",-62.24703598022461
24,964487,From this time until his death he was the most prominent man in this part of the State.,-13.475301742553711
25,3407526,The Afghanistan Journalists' Centre announced that local volunteer radio presenter Ahmadkhan Nawid was killed.,-62.26078796386719
26,3071220,He was wanted by the state police of several states in India for his involvement in criminal activities.,-17.44371795654297
27,544225,The Deep Rock Oil Corporation was an undercapitalized subsidiary of the defendant Standard Gas Company.,-48.80958557128906
28,1397053,"In July 2014, the makers released a motion poster of the film, revealing the first look.",-33.6568489074707
29,748510,His politically oriented parents chose to make a statement by deciding to remain living in the changing neighborhood.,-53.073638916015625
30,412137,She represents the electoral district of Saskatoon Churchill-Wildwood as a member of the Saskatchewan Party.,-23.11375617980957
31,3199826,"He moved to Humboldt County, California, and established the land office at Humboldt Point in 1858.",-36.70454788208008
32,2505581,"While she spends many years in prison, Rigor is slowly dragged into a life of violence.",-29.985517501831055
33,2624613,Bonner is a 2012 inductee into the Arena Football League's Hall of Fame.,-12.441997528076172
34,1208431,He won three Under 21 national titles English National Table Tennis Championships in 2001 and 2003 and 2004.,-50.39887237548828
35,3058726,"Only rarely would the proportion be 100:0, as in ""The Oropesa"".",-36.00587463378906
36,2674329,"He was buried at Santa María Magdalena de Pazzis Cemetery in San Juan, Puerto Rico.",-13.011528015136719
37,2660904,Section 14 covers more general issues including that the law does not govern schools that only teach religion.,-35.543678283691406
39,2784410,Between 1734 and 1753 Schnell also appeared as a publisher of sacred music by other composers.,-26.68500328063965
40,1197749,"His work in this field led to him to write his first book, ""Samsung Rising"".",-27.42152976989746
41,298939,The front facade features a massive one-story pedimented portico at the central entrance bay.,-16.41248893737793
42,1394242,"Through this repeated process, the chimaera finally begin to win against the seraphim.",-29.698997497558594
43,1632529,The population density was 64.7 people per square mile (25.0/km²).,-6.491033554077148
44,1237648,"An argument with Thelonious Monk during the recording of ""Bags' Groove"" was reported.",-25.65483283996582
45,475154,The school currently had enrollment of 136 students in grades 6-12 at the time of closing.,-13.805967330932617
46,3320002,The Le Puiset branch consists of the descendants of Everard I of Breteuil.,-18.22545051574707
47,881857,"Since 2001, he has been a senior research fellow at the Constitution Unit of University College London.",-20.47052001953125
48,2764091,In December 2005 Drayson published a report entitled The Defence Industrial Strategy (DIS).,-29.99540901184082
49,3460586,He is a vocal advocate of significant United States economic support and diplomatic influence in the Caribbean region.,-36.667633056640625
50,3017032,He first explains Tyson's sarcastic order to shoot the civilians the morning of the Hue massacre.,-66.0826416015625
51,160630,Leopold I appointed Field Marshall Raimondo Montecuccoli to lead an army to Transylvania.,-30.353153228759766
52,1472842,The status of Palm Springs Stadium was unclear in the late 1990s and early 2000s (decade).,-20.34436798095703
53,1283635,Orwell fell seriously ill in March 1929 and shortly afterwards had money stolen from the lodging house.,-32.30157470703125
55,2433583,Gian Paolo Palenteri was ordained a priest in the Order of Friars Minor Conventual.,-24.293886184692383
56,726955,There is a parking lot inside the entrance for visitors who wish to bike or hike the road.,-30.64301872253418
57,1639028,"Millard is a village in Pettis Township, Adair County, Missouri, United States.",-16.98920440673828
58,1263093,Kalla was also seen as a potential vice-presidential candidate for the incumbent Megawati.,-20.308582305908203
59,1597225,"To date, there have been several types of Copper Nitrite Reductases discovered.",-16.24148178100586
60,2103733,"At about elevation they established a camp called ""Sunday Station"" at the edge of the forest.",-48.658103942871094
61,3396770,"Angolan nationalists began fighting for independence in 1961, achieved in 1975 following a revolution in Portugal.",-35.77946472167969
62,2038915,"After her commissioning, she was assigned to the 4th Destroyer Flotilla with the Mediterranean Fleet until 1936.",-35.475738525390625
63,1228548,"Nevertheless, he often impressed travelers at his grandfather's inn with his phenomenal mathematical faculty.",-39.389427185058594
64,2008608,"It also borders the countries of Paraguay, to the southwest, and Bolivia, to the west.",-13.855095863342285
65,1499324,He died less than a month after leaving office and five weeks after being awarded a knighthood.,-9.21182632446289
66,1960611,"On September 24, 1770, a bevy of angry Regulators took over the Hillsboro Court.",-36.31920623779297
67,1946875,"Langford also had one serious science fiction novel published in 1982, ""The Space Eater"".",-32.079505920410156
68,1825018,"Using sequential story-telling, Goldstein creates a bright, plastic, pop-surrealist narrative.",-48.09351348876953
69,2555616,"ME Bank, also known as ME, is an Australian direct bank based in Melbourne, Victoria.",-19.43423843383789
70,2964301,"In addition, he became the spokesperson for the company as part of the three-year contract.",-19.32889175415039
71,2742536,"""People would call my father at 3 a.m. with questions,"" Ahmad said.",-40.31095886230469
72,3138133,He was also a director of the First National Bank of Chicago and Lackawanna Steel Company.,-14.144678115844727
73,2839514,Seenu (Nithin) is a new admit at Maharaja College of Arts and Sciences.,-43.90061569213867
74,804775,"2017 - Mystic Timbers, a Great Coasters International wooden roller coaster added and Winterfest returns.",-72.03192901611328
75,1133185,"Previous names for the ground include Lyallpur Stadium, National Stadium, and City Stadium.",-18.50291633605957
76,27408,"Women suffered all kinds of atrocities because men held the belief that women were the weaker sex.""",-31.3386173248291
77,532196,"When he gets in the car, he notices that the mileage is set to the Numbers.",-25.17048454284668
79,1890090,She has also tried her hand at modeling and has a contract with the Li Ning company.,-15.813406944274902
80,1605737,The population density was 254.4 people per square mile (98.2/km²).,-6.895798683166504
81,473330,The school was founded in 1981 and is affiliated to the Central Board of Secondary Education of India.,-8.639875411987305
82,1614088,"Males had a median income of $25,909 versus $18,125 for females.",-14.240939140319824
83,2732872,Its main focus was to reduce greenhouse emissions to about 45-65% of the 2003 levels.,-39.35270690917969
84,1262179,"After the failed qualification for the 1986 World Cup, Olle Nordin took over the team.",-22.745689392089844
85,1659307,Hamilton led from the start with Räikkönen closely following and Alonso a few seconds behind them.,-17.48790740966797
86,844491,He represented Sri Lanka at the 2018 Summer Youth Olympics in October 2018 which was held in Argentina.,-16.946325302124023
87,2973426,The government then relocated to Villa Somalia in the capital from its interim location in Baidoa.,-57.621559143066406
88,3162455,"Meanwhile, Nine-Tailed Fox is being hunted down by an old enemy and must evade capture.",-17.844249725341797
89,2830808,"He began so successfully that he received the nickname of ""Little prophet"" which he always retained.",-41.22206497192383
90,2030160,"Johannes Aldert ""Jan"" Bergstra (born 1951) is a Dutch computer scientist.",-25.4837646484375
91,1328771,These pickups were used in American Deluxe Series Guitars and Basses from 2004 until early 2010.,-33.57762145996094
92,1204610,It is known that Pdr1p induces the expression of Rpn4p.,-28.59231185913086
