sample_id,folder_id,sent_id,sentence,prob_1
0,DO,6576,The type specimen is in the British Museum.,-0.9200952649116516
1,DO,5515,The foundation still remains the producing entity today.,-26.22433853149414
2,DO,5420,Since consolidation the squadron has not been active.,-19.54593276977539
3,DO,7511,Club Learn provides computer labs and computer instruction.,-41.43889617919922
4,DO,13463,The city council is presided by the Mayor.,-8.167526245117188
5,DO,10191,Adults are on wing from November to January.,-2.9787354469299316
6,DZ,10985,The lowest pressure reported by a ship was .,-22.998125076293945
7,DZ,3796,"However, during the fighting it burned down.",-9.062646865844727
8,DZ,13076,He represented Czechoslovakia at the 1972 Summer Olympics.,-5.151278495788574
9,DZ,4608,This can generally be observed in poorer settings.,-23.969697952270508
10,DZ,3569,"scope=row| ""40 Bars"" !",-47.32740783691406
11,DZ,10128,A castle was built in the 12th century.,-8.967977523803711
12,DZ,1827,Pharis - An orphan girl from Usa.,-26.986160278320312
13,DN,6534,The film was awarded twice during the 11.,-43.20903778076172
14,DN,13229,There is a single extended generation per year.,-9.717713356018066
15,DN,6006,"Köhler writes about QL laws: """,-43.966583251953125
16,DN,14620,CharadriiformesFamily:,-51.23344802856445
17,DN,13305,"Inactivated 1 September 1958 at Irwin, Pennsylvania.",-22.922653198242188
18,DN,4110,Kapoor has won six awards from ten nominations.,-16.225234985351562
19,DN,13179,The flower-spikes are around in length.,-23.327035903930664
20,DN,9069,If we combine the two equations we get:,-18.568370819091797
21,DN,9672,Bara language  Bara may refer to:,-15.927995681762695
22,DN,7372,The Lankhandei is known for flooding.,-43.031917572021484
23,DN,14575,The show has had four seasons so far.,-7.5761003494262695
24,DN,2772,he was buried in Santa Fe National Cemetery.,-3.042848587036133
25,AR,10885,It was part of the A television network.,-21.791690826416016
26,AR,388,The series also starred Anthony Wickert.,-32.61126708984375
27,AR,3745,Bates spoke about the scene in several interviews;,-22.018619537353516
28,AR,5964,The number of discovered chemical elements is 118.,-22.009769439697266
29,AR,11100,His body was buried at Highgate Cemetery.,-3.932164192199707
30,AR,4751,"the 2008 comedy ""Capers""; """,-49.335838317871094
31,BR,4449,two unrelated types may satisfy the same concept.,-30.135196685791016
32,BR,7895,Reprise 9 26023-2  Side One:,-50.18724060058594
33,BR,2254,Oregon…Amassed 103 yards on 5 receptions.,-45.11885452270508
34,BR,1461,"J.H. Muirhead, London:",-26.29330825805664
35,BR,6110,retreating troops destroyed bridges crossing the Cumberland River.,-22.232751846313477
36,BR,10069,There is no process for drying this product.,-17.795190811157227
37,BR,7261,Campbell intended to compete with Cream of Wheat.,-34.015357971191406
38,BR,4757,it tapers to by at the top.,-26.45336151123047
39,BR,12166,It is currently used mostly for football matches.,-0.027456825599074364
40,CD,11331,Their heads and long wings have black markings.,-21.29523277282715
41,CD,10056,ABAP supports two different kinds of comments.,-31.150814056396484
42,CD,12958,He died in a road accident in 1979.,-15.647626876831055
43,CD,13617,The supplies were restored on 27 January 2008.,-34.68910217285156
44,CD,2929,Emperor Akbar was one of its greatest patrons.,-13.551737785339355
45,CD,7815,The members which compose this social organ are:,-36.213233947753906
46,CD,1165,"School House Rockz"" (2008):",-63.37868118286133
47,CD,5237,This letter was replaced by Ө in 1939.,-18.578414916992188
48,CD,398,That's why I'm worried.,-5.575150966644287
49,CD,6940,Not all the ideas he supported were successful.,-14.085803985595703
50,CD,3253,Students have several opportunities to pass the exams.,-5.584011077880859
51,CD,5225,He plays at cecil sharp house in London.,-30.524513244628906
52,CD,4028,About 500 of them could not be identified.,-7.730552673339844
53,CD,11853,A summary of the levels is given below:,-20.179872512817383
54,FH,11868,The activities of the contrade are manifold.,-45.79170608520508
55,FH,2584,Local residents clapped and cheered after police left.,-23.60289764404297
56,FH,2758,Police interviewed her again on 5 May 2009.,-31.139249801635742
57,FH,15057,She is now the chair of the organization.,-13.148964881896973
58,FH,2446,Die unbesiegliche Inschrift;,-25.02625274658203
59,FH,6462,She died on 5 February 1941 in Switzerland.,-19.400630950927734
