iterationName,wID,aID,sentence,response,rt,prob,sent_length,prob_class,source,phase,step,sentence_num,id,group_id,stimulus_type,trial_type,trial_index,time_elapsed,normed_response
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,Nathan and Giuliani formed an ongoing relationship.,100,8287.41000010632,-20.66905212402344,short,high,wiki,wiki,0,19,0_0,17,main_judgement,html-slider-response,5,111569,0.6339622243407982
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,"It is used to house inmates arrested in their patrol area, with the exception of misdemeanors committed in the city of Las Vegas, which maintains its own jail.",84,17958.474999992177,-38.518387,long,high,bert,early,0,6,0_0,17,main_judgement,html-slider-response,6,129529,0.7231077516361997
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,"However, itinerant British foreign policy such as Winston Churchill courted intoxicated nationalist separatists on the more impersonal (occasionally subversive) side.",34,21312.48000008054,-17.025438,long,high,bert,late,69859,6,0_1995,17,main_judgement,html-slider-response,7,150842,-1.0405696913789215
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,"1937's magic workshop is also a brewer of over 3000 annexes of laws and magical codes, the process by which magic is theoretically unchallenged before recording.",66,22168.86999993585,-87.675735,long,low,bert,early,128,4,0_3,17,main_judgement,html-slider-response,8,173012,0.08818387215075606
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,Since then Kingwood park has been used indecently in the premiere of the Dirty Dozen.,100,9569.580000126734,-26.970444,medium,high,bert,late,37923,6,9_1995,17,main_judgement,html-slider-response,9,182583,1.266899649625897
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,Lake Superior has fewer dissolved nutrients compared to its water volume than the other great lakes and so is less productive in terms of fish populations and thus an oligotrophic lake.,99,19391.264999983832,-36.93097,long,high,bert,early,1,7,2_0,17,main_judgement,html-slider-response,10,201975,1.252210984540736
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,"Hurricane Fabian shut down many fruit and vegetable crops in economic business neighborhoods, particularly artesian wells.",90,8709.484999999404,-47.112328,medium,high,bert,early,256,5,6_13,17,main_judgement,html-slider-response,12,222600,0.3830161731427128
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,Asparagine usually enters the citric acid cycle in humans as oxaloacetate.,79,9037.705000024289,-9.5416565,medium,high,bert,early,2,8,1_0,17,main_judgement,html-slider-response,13,231639,-0.58925565098879
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,"Breaux opened two American-style studios in San Francisco in 1870, complementing one another.",99,7753.365000011399,-26.889185,medium,low,bert,early,128,0,6_6,17,main_judgement,html-slider-response,14,239393,1.1785113019775788
prolific-pilot0,5dabbe0ead1260001162bc7f,60b007a6a9c40f3804307214,Get all your money out and get me fed.,21,6828.254999825731,-21.569355,short,high,bert,late,14009,9,2_1400,17,main_judgement,html-slider-response,15,246222,-1.4242439012587798
