sentence,sent_length,source,sentence_num,id,step,phase,prob_class,prob,group_id
"Salova Bioroda (Hungarian: Salosze Banyerucus, also Pusztava Bioroda) is a deontological park located in Slovakia.",long,bert,0,0_1025,35909,late,low,-57.29155,27
"The Hussars' first expedition to Gallipoli was repulsed at Malatesta, Brescia (except Varna) and Udine (the entire city).",long,bert,0,1_750,26284,late,low,-30.573933,21
"Circumventing normal pathologies of reintroduction in the uterus, the cataract may be associated with fever or hypertension, but should not be fatal.",long,bert,0,2_1495,52359,late,low,-17.302439,20
"He has performed faculty and lectures at the University of Eindhoven, and the University of Nazaire, prospective, Oxford and the university of kidnapped children in the Netherlands.",long,bert,0,3_1495,52359,late,low,-66.0263,5
There were some doubts about the change severance severance had put forth when severance had been harried to the 234 and had begun to prowl off his map.,long,bert,0,4_1395,48859,late,low,-64.09123,3
"She was also his assistant in Bihar, Andhra Pradesh, Vaishali district and in the states of Bundelkhand and Orissa, but was mainly involved in urban work.",long,bert,0,5_1995,69859,late,low,-33.168938,6
"By founding a company focused on identifying and conducting research in women's culture that wants to expand into competition, she has become an active member of the AIM mobile analytics group.",long,bert,0,6_1950,68284,late,low,-67.65964,10
"""You stupid old wimp!"" cried one of the shapeshifters, waging him over the body and swerving in Raziel's direction repeatedly.",long,bert,0,7_780,27334,late,low,-36.773582,19
"Following a stint in association with the Yugoslav first league clubs Partizan and Partizan Shkoder, he became assistant coach with Italy's Serie a Serie a Club Napoli.",long,bert,0,8_1475,51659,late,low,-25.568703,2
"Silva signed a three-year contract, a deal that would have left the old raikes completely unable to return to the club and he replaced Gratian Giurgiu.",long,bert,0,9_1275,44659,late,low,-53.378487,22
"All that was visible was impotent small creatures, whose only people nearby were 'able' to use their powers, as well as 'wat' their world could offer.",long,bert,1,0_1975,69159,late,low,-44.557106,3
"She had no idea what he was, or was likely any reason to remain at Esban, but a small warmth in her and her eyes said she knew it was coming.",long,bert,1,1_1970,68984,late,low,-73.49426,15
"By controlling the plasma concentration with the histamine remaining cytoplasmic, the histamine transporter functions by energizing the aliphatic histamine.",long,bert,1,2_1995,69859,late,low,-23.87641,15
He won two medals as a high jumper at the 1997 South American Championships (with Pekka Velluva) and at the 1997 world indoor championships in Rio de Janeiro.,long,bert,1,3_1445,50609,late,low,-26.718155,11
"""That's attitude, isn't it? Am i better than you?"" Sariana opened her mouth to speak so no one would notice her sullen expression.",long,bert,1,4_955,33459,late,low,-18.335361,4
"Later mythologies theorize that Venturion was to erupt into restless and undying love thanks to Osiris ""Plomon"" in the animate form.",long,bert,1,6_1995,69859,late,low,-68.20943,16
"Particles can only collide (depending on their solubility); electrons and quarks collide with mesons, and the molecule collides with mesons.",long,bert,1,7_1075,37659,late,low,-17.320091,25
"The intense reversibly intense UV light released in the skin attracts a majority of members (including technical glass subjects), hence the name ""heterogeneous UV"".",long,bert,1,8_990,34684,late,low,-77.53941,4
