sentence,prob,sent_length,source,sentence_num,id,step,phase,prob_class,group_id
"Often called the ""sax version"", the second recording was issued as a single in April 1973 with exactly the same catalogue number as the first release, causing difficulties for collectors.",-48.09864044189453,long,wiki,1,0_0,0,wiki,high,7
"Most of today's Van Tuyls and Van Tyles are descended from the two youngest boys, twins Abraham and Isaac, both of whom became farmers on Staten Island.",-63.51420593261719,long,wiki,2,0_0,0,wiki,high,1
"Given the epistemological nature of Talisse's democratic theory, his work tends to engage questions about public discourse, argumentation, the media, and public ignorance.",-66.4192886352539,long,wiki,3,0_0,0,wiki,low,16
"The occupant is a mysterious princess whose name has never been recorded in any historical documents, and who appears in Yung-chʻien's recurring dreams.",-56.383758544921875,long,wiki,4,0_0,0,wiki,high,11
"However, after coming on for the injured Øyvind Leonhardsen early in the FA Cup fifth round tie against Stockport County on 17 February 2001, Davies scored twice.",-31.444650650024414,long,wiki,5,0_0,0,wiki,high,10
"After scoring two goals in 15 Development Squad appearances during the 2015–16 season, Senior departed Brentford on 28 June 2016, having made just one first team appearance at Griffin Park.",-67.62406921386719,long,wiki,6,0_0,0,wiki,low,20
"When Weaver left the club in 2019, Patel took over the role, becoming the club's Head of Talent Pathway and working alongside for women's coach Mark Dekker.",-77.95756530761719,long,wiki,7,0_0,0,wiki,low,27
"Missing a meeting was considered a breach of discipline, so Argala and Ignacio Pérez Beotegui, known as ""Wilson"" were stripped of all responsibilities in the organization.",-77.4942398071289,long,wiki,8,0_0,0,wiki,low,11
"Feeling alienated, he decided to quit college, but was stopped by his basketball coach at a bus station, where Wideman was about to board a bus back to Pittsburgh.",-39.94492721557617,long,wiki,9,0_0,0,wiki,high,3
Annually between the 6th and 8 August there is a festival celebrating these saints in which the effigy of Donatus is paraded around the streets of Guardiagrele.,-49.45550537109375,long,wiki,10,0_0,0,wiki,high,21
"Lucas, a Fulbright Scholar, is the recipient of the Premier Prix at the Guildhall School of Music and Drama; he is the only brass musician ever to receive this prize.",-43.440948486328125,long,wiki,11,0_0,0,wiki,high,25
"Due to Ash's late appearance in ""The King of Fighters 2003"", the staff joked that teammate Shen Woo seemed more like the series' main character than Ash did.",-62.00685119628906,long,wiki,12,0_0,0,wiki,high,22
"""Ultra HD"" was selected by the Consumer Electronics Association after extensive consumer research, as the term has also been established with the introduction of ""Ultra HD Blu-ray"".",-39.708335876464844,long,wiki,13,0_0,0,wiki,high,2
"In 1869, Keshub Chunder Sen selected from his missionaries four persons and ordained them as ""adhypaks"" or professors of four old religions of the world.",-93.27860260009766,long,wiki,14,0_0,0,wiki,low,14
"June Sheets was employed in Arkansas City as an agent for the Frisco Railroad, but in 1943, he was transferred as a dispatcher to Enid in northern Oklahoma.",-58.92942428588867,long,wiki,15,0_0,0,wiki,high,11
