sentence_num,chain_num,epoch,step,count,sentence,prob_class,prob,source,sent_length,phase
0,7,0,1,1,Various specialized army offices conducted research at Tuto.,low,-47.552948,gibbs,short,early
0,6,0,2,2,Six specialized army offices conducted research at Tunto.,low,-51.012436,gibbs,short,early
0,6,0,4,4,Six specialized army offices conducted research at Minusto.,low,-51.319363,gibbs,short,early
0,3,0,8,8,Several US army analysts conducted research at Wato.,low,-35.071213,gibbs,short,early
0,9,1,6,16,The Republican army also conducted operations at Loreto.,low,-15.748787,gibbs,short,early
0,4,3,2,32,The US army also conducts training at HH.,low,-17.350115,gibbs,short,early
0,1,6,4,64,Some former slavers also settled in loo.,low,-22.81783,gibbs,short,early
0,2,12,8,128,But moments later Johnnie called out for Alix.,low,-21.95906,gibbs,short,early
0,5,25,6,256,The islands' residents are mostly from Nova Scotia.,low,-4.2708135,gibbs,short,early
0,0,51,2,512,"Worse, he was there, holding the sculpture.",low,-21.368805,gibbs,short,early
0,0,102,4,1024,"Then, there was only him and Blay.",low,-5.938706,gibbs,short,early
0,0,204,8,2048,"When our fingers entwined, they instantly tingle.",low,-11.204040000000001,gibbs,short,early
0,0,409,6,4096,Henceforth some were guarded by the guys themselves.,low,-32.06358,gibbs,short,early
0,6,819,2,8192,She tried to help Thaddeus that day.,low,-12.732321,gibbs,short,early
0,7,0,1,1,Numerous specialized army offices conducted research at KTO.,low,-45.236263,MH,short,early
0,9,0,2,2,Numerous specialized research offices conducted research at Asto.,low,-36.055023,MH,short,early
0,4,0,4,4,Several specialized scientific offices conducted research at Toto.,low,-31.22388,MH,short,early
0,7,0,8,8,Four specialized research offices conduct research at KTO.,low,-24.848053,MH,short,early
0,0,1,6,16,Several scientific research offices conduct research within Tuo.,low,-28.066496,MH,short,early
0,5,3,2,32,Several scientific research institutes conduct research on WTO.,low,-17.19336,MH,short,early
0,2,6,4,64,Three community based scientists conduct research at HSI.,low,-21.157768,MH,short,early
0,6,12,8,128,Several US elected officials commissioned research into SNP.,low,-18.137337,MH,short,early
0,3,25,6,256,Three federal inspection agencies conducted inspections of Walmart.,low,-7.8410263,MH,short,early
0,6,51,2,512,Several Mexican border guards conducted interviews with Lozano.,low,-5.097068,MH,short,early
0,0,102,4,1024,Implemented professional development programs and workshops in Beloit.,low,-13.940609,MH,short,early
0,0,204,8,2048,Exploring public access options to archives in Beluga.,low,-24.05598,MH,short,early
0,1,409,6,4096,Chinese communist trade unions seized power in Shangrao.,low,-7.1842027,MH,short,early
0,7,819,2,8192,Some divisional level organisations have migrated to Waikato.,low,-18.15709,MH,short,early
1,0,0,1,1,"Inside such hosts, I settle in the muscles.",low,-56.715736,gibbs,short,early
1,1,0,2,2,"Inside such hosts, they settle on the muscles.",low,-45.37861,gibbs,short,early
1,3,0,4,4,"Inside the hosts, nutrients settle to the muscles.",low,-39.37137,gibbs,short,early
1,1,0,8,8,"Inside their heads, they settle on the floor.",low,-26.675198,gibbs,short,early
1,4,1,6,16,"In human society, conflicts settle with the dagger.",low,-40.242958,gibbs,short,early
1,5,3,2,32,"In a blizzard, we halted on the ice.",low,-29.158737,gibbs,short,early
1,9,6,4,64,Then the bright lulu face stuck on the door.,low,-40.720566,gibbs,short,early
1,7,12,8,128,He finally asks when I pull into the garage.,low,-6.551391,gibbs,short,early
1,7,25,6,256,Cara finally asks as I pull into the driveway.,low,-12.728449,gibbs,short,early
1,7,51,2,512,The driver asks when I walk down the driveway.,low,-9.924746,gibbs,short,early
1,7,102,4,1024,The wooden tent was originally used as a storage.,low,-23.636057,gibbs,short,early
1,9,204,8,2048,The state of Arkansas is divided by two highways.,low,-15.644421,gibbs,short,early
1,9,409,6,4096,Higher education school xur divided into six institutions.,low,-35.1389,gibbs,short,early
1,8,819,2,8192,They had six children (sons and daughters).,low,-3.7872982,gibbs,short,early
1,6,0,1,1,"Inside such hosts, they settle in the air.",low,-36.88717,MH,short,early
1,4,0,2,2,"Inside such hosts, they settle in the dirt.",low,-36.483444,MH,short,early
1,3,0,4,4,"In such hosts, they settle in the flesh.",low,-30.373596,MH,short,early
1,5,0,8,8,"In such cases, they settle into the cage.",low,-22.771255,MH,short,early
1,4,1,6,16,"Unlike most hosts, they settle in the dirt.",low,-28.119633,MH,short,early
1,7,3,2,32,"As acting hosts, friends met in the chapel.",low,-27.963459,MH,short,early
1,2,6,4,64,"In their homes, they feast on an oyster.",low,-13.403473,MH,short,early
