sample_id,sent_id,sentence,prob_1,num_tokens_flag,sent_num_flag
0,1412602,"During the Autumn of 1790, American forces under the command of General Josiah Harmar unsuccessfully pursued the Miami tribe near present-day Fort Wayne, Indiana, but had to retreat.",-42.28681182861328,1,1
1,500305,In 1645 Parliament required MPs to give up any civil or military offices that they held and Barker had to give up his positions as mayor and governor despite an appeal from to town.,-78.15400695800781,1,1
3,1839397,"Both mission concepts were resubmitted for Discovery funding in 2019 and in February 2020 were among the four missions selected as finalists, each receiving $3 million for further development.",-49.575767517089844,1,1
4,815608,"The studies show that muscle twitches during sleep provide information to the brains of newborn animals about the structure of muscles and limbs, effectively teaching the brain how to move the body.",-51.64044189453125,1,1
5,221588,"During the years 1928–1940, the barracks area was shared with the 3rd Squadron of Norrland Dragoon Regiment (K 4), which were located in the western barracks.",-89.70368957519531,1,1
6,1615001,"The Alexandrian edition of Sappho's poetry was based on the existing Athenian collections, and was divided into at least eight books, though the exact number is uncertain.",-34.873191833496094,1,1
7,666619,"There are also many Pakistanis from the adjacent regions of Punjab, Sindh and Balochistan who are conversant in Pashto and count it as their second language.",-28.038007736206055,1,1
8,1114383,"Seeing a favourite celebrity support a cause can influence fans to support the same cause—not because the cause is significant to the fans, but because it seems significant to the artist.",-76.39605712890625,1,1
9,201903,"In the four years from 1920 to 1923, Hayes coached the McClain basketball team to an 89–8 record, outscoring opponents 3,319 to 1,251.",-93.18220520019531,1,1
10,768905,"In early 2008, the group coalesced under the name Cash Cash, with members Jean Paul Makhlouf, Alexander Makhlouf, and Samuel Frisch.",-49.31291961669922,1,1
11,1724515,"Linguistics and aural skills are at the centre of the ""Word Play"" segment, featuring a puppet named Chatterbox who assists in the exploration of language through stories and rhymes.",-50.736488342285156,1,1
12,1005714,"If another blow to the head occurs after a concussion but before its symptoms have gone away, there is a slight risk of developing the serious second-impact syndrome (SIS).",-63.34518814086914,1,1
13,704691,"Zerubavel wrote that the remark by which a fallen guard, Yehezkel Ninasov, was remembered, revealed the image of being guard in all its glory.",-111.71627044677734,1,1
14,658646,"With seven other ships in the KdF fleet, she transported the Condor Legion back from Spain following the victory of the Nationalist forces under General Francisco Franco in the Spanish Civil War.",-40.358604431152344,1,1
15,1152983,"The occasion of her first kiss was as significant to us, and, as it happened, to her audience, as must be the first kiss of any girl sixteen years old.",-60.48319625854492,1,1
16,869808,"According to historian Diana Muir writing in ""Reflections in Bullough's Pond"", it was in Collinsville that Elisha Root invented the important industrial technique of die casting.",-79.96151733398438,1,1
17,1119342,"The Edgcumbe Hotel in Bere Alston village is part of the Tamar Valley Line rail ale trail, which is designed to promote the use of the line.",-55.35652542114258,1,1
18,1397974,"One day, Indhu's mother gives a book titled “Pathinaru” and asks Shiva and Indhu to read so that they might change their opinions about love.",-95.92794036865234,1,1
19,1555184,"Polverara is a ""comune"" (municipality) in the Province of Padua in the Italian region Veneto, located about southwest of Venice and about southeast of Padua.",-24.123096466064453,1,1
20,563828,"Here is how she described the protagonist: ""Mr Quin was a figure who just entered into a story – a catalyst, no more – his mere presence affected human beings.",-126.2113037109375,1,1
21,9538,"If the engine has multiple cylinders, most geometries for these are arranged so that all cylinders are never at dead centre together and so one may always be used for starting.",-93.21570587158203,1,1
22,627744,The first test launch of the complete SLV-3 rocket occurred in August 1979 but it was only partially successful following a malfunction in the second-stage guidance system.,-43.39985656738281,1,1
23,220010,"with the Kiramai Stones, which aired on May 31 and June 7 as a replacement to its regular episodes due to the COVID-19 pandemic in Japan.",-88.19804382324219,1,1
24,366170,In the 14th century as the Byzantine Empire weakened Tarnovo claimed to be the Third Rome based on its pre-eminent cultural influence in the Balkans and the Slavic Orthodox world.,-62.45940399169922,1,1
25,35142,"He has been a member of the Senate since 7 June 2011, President of the Benelux Parliament since 1 January 2017, and in 2018 Labour Party leader in the Senate.",-36.49457550048828,1,1
26,1547916,"Throughout, the dancing male flicks his forelegs up and down, holding them wide apart at first and bringing them closer and closer together as he nears the female.",-37.350738525390625,1,1
27,1615720,"Some of these links contain code to track the spambot's identity; if a sale goes through, the spammer behind the spambot earns a commission.",-58.59501647949219,1,1
28,1449144,"In 2013, Fukuhara was announced as the 6th vocalist for pop group Sweetbox, and was the group's featured vocalist for their album ""#Z21"".",-62.33405685424805,1,1
29,1382203,"Wang believed this to be improper—that princesses needed to be in their proper roles as daughters-in-law, and therefore he instead accepted bows from Princess Nanping.",-63.455116271972656,1,1
30,102345,"His timber holdings were particularly vast, with one obituary at the time of his death indicating that Weatherford was ""at one time perhaps the largest individual timber owner in Oregon.""",-44.61545944213867,1,1
31,1015006,"Low prices for consumers can be a disincentive for farmers to produce more food, often resulting in hunger, poor trade prospects, and an increased need for food imports.",-54.197471618652344,1,1
32,130354,"In an August 1979 interview Atari's Peter Rosenthal suggested that demand might be low until the 1980-81 time frame, when he predicted about one million home computers being sold.",-59.727447509765625,1,1
33,1069209,"At its established its objective was 'to further in every way possible the provision of full modern education for all deaf children in England, as originally accorded to hearing children'.",-64.73991394042969,1,1
34,1448743,"After scoring two goals in 15 Development Squad appearances during the 2015–16 season, Senior departed Brentford on 28 June 2016, having made just one first team appearance at Griffin Park.",-67.62406921386719,1,1
35,1862732,"Reel Horror is a 1985 horror/comedy film directed by Ross Hagen from a screenplay by Jeanne Lucas, composed primarily of footage from other films, in two of which Hagen acted.",-77.90375518798828,1,1
36,472923,"Jon Meacham writes that, ""With a single phrase, Martin Luther King Jr. joined Jefferson and Lincoln in the ranks of men who've shaped modern America"".",-39.01474380493164,1,1
37,1772066,"Emigration to the Americas (mainly Cuba and Venezuela) continued during the 19th and early 20th century, due to the lack of economic opportunity and the relative isolation of the Canary Islands.",-24.014129638671875,1,1
38,215049,"On November 17, 1896, ""The Roanoke Times"" reported in Wilmington, Delaware that Betancourt was killed with a machete by Spanish troops who attacked a field hospital.",-38.53205108642578,1,1
39,928375,"Cornell Tudin (September 21, 1917 – October 24, 1988) was a Canadian professional ice hockey forward who played 4 games in the National Hockey League for the Montreal Canadiens.",-78.00633239746094,1,1
40,1422167,"In 2011, because of a lack of spaces at both Orleans Infants School and St Stephen's, Richmond Council decided to renovate both schools, converting them to primary schools.",-56.98451614379883,1,1
41,715095,"Rodríguez was the Holy See's spokesman with the International Monetary Fund and the World Bank on the issue of Third World debt, and he has encouraged countries to give development aid.",-46.87458801269531,1,1
42,237472,"The kererū belongs to the family Columbidae, and the subfamily Ptilinopinae, which is found throughout Southeast Asia, Malaya, Australia and New Zealand.",-37.63316345214844,1,1
43,1712578,"Sarpaniran Rural District is a rural district (""dehestan"") in the Central District of Pasargad County, Fars Province, Iran.",-17.413217544555664,1,1
44,980094,"This is also true among the Survey of Adult Skills (PIAAC) where the top-performers in problem solving are predominantly men, except for in Finland, Australia and Canada.",-83.4356460571289,1,1
45,858306,"Samantha, wanting to be the first to use the fax machine, sends an invitation for the party to the same phone-number she uses to contact Jane on the Moon.",-55.441680908203125,1,1
46,557576,"From January through November 2016, IDW published a new ongoing series called Ghostbusters: International which takes the team to different International locales and out of the United States.",-41.31512451171875,1,1
47,1462738,"The event prompted Amin to task the General Service Unit, now renamed the Special Research Bureau, and the newly formed Public Safety Unit with an intensified search for suspected subversives.",-74.64570617675781,1,1
48,1775243,"In 1955, medical insurance that provided earnings-related benefits was introduced, and the following year the Social Democrats sponsored a law on ""social help"" which further extended social services.",-57.839263916015625,1,1
49,1523693,Cornell opened the scoring with Harry Orr's goal on a two-man advantage early in the first but were answered by two BU power play goals before the period was over.,-93.62818908691406,1,1
50,671072,"Such comments stimulated Kellogg chairman William E. LaMothe to improve, which primarily involved approaching the demographic of 80 million baby boomers rather than marketing children-oriented cereals.",-78.33201599121094,1,1
51,513494,"The distribution of ""Praticolella griseola"" includes Cuba and Costa Rica The non-indigenous distribution of ""Praticolella griseola"" includes Martinique.",-20.545013427734375,1,1
52,1695387,"Flying through the dusky sky over Bourbon Street, as I strolled along casually, were fast, sweeping brown bats: An homage, maybe, to the business of interviewing vampires?",-99.17877960205078,1,1
53,1087299,Factor XIIIa is a transglutaminase that catalyzes the formation of covalent bonds between lysine and glutamine residues in fibrin.,-9.831609725952148,1,1
54,1191587,"On August 30, the National Hurricane Center (NHC) indicated the potential for an area of low pressure to form offshore the coastline of Mexico and slowly develop over subsequent days.",-40.034912109375,1,1
56,1764761,"For example, Newton's second law states that the ""instantaneous"" force F applied to a mass ""m"" produces an acceleration a at the same ""instant"".",-30.841129302978516,1,1
57,975169,"In 1981, Messina signed with Warner Bros. Records and recorded and released his second solo effort, ""Messina"", which included folk, rock, latin and light jazz elements.",-49.81005859375,1,1
58,971526,"A number of structurally simpler synthetic analogs also have been prepared which exhibit similar biological profile and in some cases greater potency, which may provide a practical supply for clinical use.",-73.7269287109375,1,1
59,249165,"Chevalier viewed the landed estate’s development by elites was as much as anything a “psychological” impetus, to show one’s status whether or not the estate was profitable.",-209.438720703125,1,1
60,1407527,"In his homecoming game with the Avalanche in their season opener for the 2013–14 season, Tanguay posted 3 assists in a 6-1 victory over the Anaheim Ducks.",-92.79802703857422,1,1
