index,initial_sentence,batch_num,iter_num,chain 0,chain 1,chain 2,chain 3,chain 4,chain 5,chain 6,chain 7,chain 8,chain 9
0,[CLS] Nor did he know the difference between hot and cold. [SEP],0,0,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
1,[CLS] Nor did he know the difference between hot and cold. [SEP],0,1,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did they know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between heat and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
2,[CLS] Nor did he know the difference between hot and cold. [SEP],0,2,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did they know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP]
3,[CLS] Nor did he know the difference between hot and cold. [SEP],0,3,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do they know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between heat and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
4,[CLS] Nor did he know the difference between hot and cold. [SEP],0,4,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do they know the difference between heat and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
5,[CLS] Nor did he know the difference between hot and cold. [SEP],0,5,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Little did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Little did he know the difference between hot and cold. [SEP],[CLS] Nor did they know the difference between heat and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP]
6,[CLS] Nor did he know the difference between hot and cold. [SEP],0,6,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Little did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did they know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did they know the difference between heat and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP]
7,[CLS] Nor did he know the difference between hot and cold. [SEP],0,7,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Little do you know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did they know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP]
8,[CLS] Nor did he know the difference between hot and cold. [SEP],0,8,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between heat and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
9,[CLS] Nor did he know the difference between hot and cold. [SEP],0,9,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do they know the difference between hot and cold. [SEP],[CLS] Nor did they know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between heat and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between warm and cold. [SEP],[CLS] Nor do we know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP]
10,[CLS] Nor did he know the difference between hot and cold. [SEP],0,10,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor did they know the difference between heat and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor did they know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP]
11,[CLS] Nor did he know the difference between hot and cold. [SEP],0,11,[CLS] Nor did I know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Nor do they know the difference between heat and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor does he know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between warm and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
12,[CLS] Nor did he know the difference between hot and cold. [SEP],0,12,[CLS] Little did I know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] nor do they know the difference between heat and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between heat and cold. [SEP],[CLS] Nor does he know the difference between hot and cold. [SEP],[CLS] Nor does he know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
13,[CLS] Nor did he know the difference between hot and cold. [SEP],0,13,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor do they know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between darkness and light. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did I know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
14,[CLS] Nor did he know the difference between hot and cold. [SEP],0,14,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Nor did they know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between dark and light. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Little do we know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
15,[CLS] Nor did he know the difference between hot and cold. [SEP],0,15,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between dark and light. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between hot and cold. [SEP],[CLS] Nor did I know the difference between hot and cold. [SEP]
16,[CLS] Nor did he know the difference between hot and cold. [SEP],0,16,[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Nor do they know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between dark and light. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between hot and cold. [SEP],[CLS] Nor did I know the difference between hot and cold. [SEP]
17,[CLS] Nor did he know the difference between hot and cold. [SEP],0,17,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between dark and light. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP]
18,[CLS] Nor did he know the difference between hot and cold. [SEP],0,18,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between dark and light. [SEP],[CLS] Nor does he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP]
19,[CLS] Nor did he know the difference between hot and cold. [SEP],0,19,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between darkness and light. [SEP],[CLS] Nor did they know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do you know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between hot and cold. [SEP]
