index,initial_sentence,batch_num,iter_num,chain 0,chain 1,chain 2,chain 3,chain 4,chain 5,chain 6,chain 7,chain 8,chain 9
0,[CLS] Nor did he know the difference between hot and cold. [SEP],0,0,[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
1,[CLS] Nor did he know the difference between hot and cold. [SEP],0,1,[CLS] Neither did they know the difference between hot and cold. [SEP],[CLS] Nor does he know the difference between hot and cold. [SEP],[CLS] Nor did Ronan understand the difference between hot and cold. [SEP],[CLS] Nor does he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Little did Luke know the difference between hot and cold. [SEP],[CLS] Nor does she know the difference between warm and cold. [SEP],[CLS] Little did she know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
2,[CLS] Nor did he know the difference between hot and cold. [SEP],0,2,[CLS] Nor do they know the difference between heat and cold. [SEP],[CLS] Nor did he know the difference between heat and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor does she know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Little did Luke know the difference between hot and cold. [SEP],[CLS] Nor does she know the difference between warm and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Little did she know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between warmth and cold. [SEP]
3,[CLS] Nor did he know the difference between hot and cold. [SEP],0,3,[CLS] Neither do they perceive the difference between heat and cold. [SEP],[CLS] Little did she know the difference between warm and cold. [SEP],[CLS] Nor did he know the difference between warm and cold. [SEP],[CLS] Neither does he know the difference between hot and cold. [SEP],[CLS] Little did she know the difference between hot and cold. [SEP],[CLS] Little does Luke know the difference between hot and cold ; [SEP],[CLS] Little did he know the difference between hot and cold. [SEP],[CLS] Nor does she know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Neither did he know the difference between hot and cold. [SEP]
4,[CLS] Nor did he know the difference between hot and cold. [SEP],0,4,[CLS] Nor can they perceive the difference between heat and cold. [SEP],[CLS] Little did Luke know the difference between hot and cold ; [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor does he know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Little does Luke know the difference between hot and cold. [SEP],[CLS] Nor did Charles know the difference between hot and cold. [SEP],[CLS] Little did he know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between warm and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
5,[CLS] Nor did he know the difference between hot and cold. [SEP],0,5,[CLS] Nor can they perceive the difference between heat and cold. [SEP],[CLS] Little did they know the difference between hot and cold. [SEP],[CLS] Nor did she care the difference between hot and cold. [SEP],[CLS] Nor does it know the difference between warmth and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Little did Luke realize the difference between hot and cold. [SEP],[CLS] Nor would Charles know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between warm and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
6,[CLS] Nor did he know the difference between hot and cold. [SEP],0,6,[CLS] Nor can we perceive the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between cool and cool. [SEP],[CLS] Nor did she care the difference between hot and cold. [SEP],[CLS] Nor does it know the difference between warm and cold. [SEP],[CLS] Nor did it know the difference between heat and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor does he know the difference between warm or cold. [SEP],[CLS] Little did they know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between warm and cold. [SEP],[CLS] Little did she know the difference between hot and cold. [SEP]
7,[CLS] Nor did he know the difference between hot and cold. [SEP],0,7,[CLS] Nor can we tell the difference between hot and cold. [SEP],[CLS] Little did he know the difference between cool and heated. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] nor does it assess the difference between warm and cold ; [SEP],[CLS] Nor did it tell the difference between warm and cold. [SEP],[CLS] Neither did they know the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Little did they know the difference between hot and cold. [SEP],[CLS] Nor did Tiffany know the difference between hot and cold. [SEP],[CLS] Nor does he know the difference between hot and cold. [SEP]
8,[CLS] Nor did he know the difference between hot and cold. [SEP],0,8,[CLS] Nor can you tell the difference between hot and cold. [SEP],[CLS] Little did Sebastian know the difference between cool and heated. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] nor does it show the difference between warm and cold. [SEP],[CLS] Nor did it tell the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between heat and cold. [SEP],[CLS] Nor does he know the difference between hot and cold. [SEP],[CLS] Little does Turbo learn the difference between heat and cold. [SEP],[CLS] Little did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
9,[CLS] Nor did he know the difference between hot and cold. [SEP],0,9,[CLS] Nor can you tell the difference between hot and cold. [SEP],[CLS] Boy does she know the difference between cool and hot. [SEP],[CLS] Little did he know the difference between hot and cold. [SEP],[CLS] nor does it describe the relationship between warm and cold. [SEP],[CLS] Nor did it tell the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor does he know the difference between heat and cold. [SEP],[CLS] Little does Turbo know the difference between warmth and cold ; [SEP],[CLS] Little did they know the difference between hot and cold. [SEP],[CLS] Nor does he know the difference between hot and cold. [SEP]
10,[CLS] Nor did he know the difference between hot and cold. [SEP],0,10,[CLS] Nor can we tell the difference between hot and cold. [SEP],[CLS] Nor does he know the difference between cold and hot. [SEP],[CLS] Nor did they know the difference between hot and cold. [SEP],[CLS] nor does it describe the relationship between warm and cold. [SEP],[CLS] Nor did it know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between warm and cold. [SEP],[CLS] Little did he know the difference between warm and cold. [SEP],[CLS] Little does Turbo know the difference between hot and cold. [SEP],[CLS] Little did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between warm and cold. [SEP]
11,[CLS] Nor did he know the difference between hot and cold. [SEP],0,11,[CLS] Nor can we tell the difference between warmth and cold. [SEP],[CLS] Nor did he know the difference between cold and hot. [SEP],[CLS] Little did they know the difference between heat and cold. [SEP],[CLS] Nor does it address the relationship between warm and cold. [SEP],[CLS] Nor does he know the difference between hot and cold. [SEP],[CLS] Nor do I know the difference between hot and cold. [SEP],[CLS] Nor would he know the difference between warmth and cold. [SEP],[CLS] Little did Turbo know the difference between hot and cold. [SEP],[CLS] Little did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
12,[CLS] Nor did he know the difference between hot and cold. [SEP],0,12,[CLS] Nor could you measure the difference between hot and cold. [SEP],[CLS] Nor did it know the difference between cold and warm. [SEP],[CLS] Nor do they know the difference between hot and cold. [SEP],[CLS] Nor did it address the relationship between warm and cold. [SEP],[CLS] Little did he know the difference between warm and cold. [SEP],[CLS] nor do we know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor do they know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
13,[CLS] Nor did he know the difference between hot and cold. [SEP],0,13,[CLS] Neither can you tell the difference between warm and cold. [SEP],[CLS] Little did he know the difference between cold and hot. [SEP],[CLS] Nor do we recognize the difference between heat and cold. [SEP],[CLS] Nor does it address the relationship between warm and cold. [SEP],[CLS] Little did Riley know the difference between hot and cold. [SEP],[CLS] Little do they know the difference between hot and cold. [SEP],[CLS] Little did she know the difference between hot and cold. [SEP],[CLS] Nor do we know the difference between warmth and cold. [SEP],[CLS] Nor does he know the difference between hot and cold. [SEP],[CLS] Nor does he know the difference between hot and cold. [SEP]
14,[CLS] Nor did he know the difference between hot and cold. [SEP],0,14,[CLS] Nor can I tell the difference between hot and cold. [SEP],[CLS] Nor did she know the difference between cool and hot. [SEP],[CLS] Neither do we recognize the distinction between warmth and cold ; [SEP],[CLS] Nor does it address the relationship between warm and cold. [SEP],[CLS] Little did Riley know the difference between hot and cold. [SEP],[CLS] Little did they know the difference between heat and cold. [SEP],[CLS] Nor did she know the difference between hot and cold. [SEP],[CLS] Nor do we see a difference between hot and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP],[CLS] Nor does he know the difference between hot and cold. [SEP]
15,[CLS] Nor did he know the difference between hot and cold. [SEP],0,15,[CLS] Nor could you tell the difference between hot and cold. [SEP],[CLS] Nor did they know the difference between cold and heat. [SEP],[CLS] Neither do they recognize the distinction between warmth and cold. [SEP],[CLS] Nor did it cross the divide between hot and cold. [SEP],[CLS] Little did Riley know the difference between hot and cold. [SEP],[CLS] Little did they know the difference between hot and cold. [SEP],[CLS] Nor did he recognize the difference between hot and cold. [SEP],[CLS] nor do we have a difference between hot and cold. [SEP],[CLS] Nor did they know the difference between heat and cold. [SEP],[CLS] Nor did he know the difference between hot and cold. [SEP]
